Participant ID,Referent,Speech,Feature,Adjectives
37C-R225,2,CHI:        I think for for her animals.,I+F,
37C-R228,3,CHI:        a farmer.,L,
37C-R231,4,"CHI:        she can, buy stuff at the store.",F,
37C-R233,5,"CHI:        you know, they farmers own cornfields.",F+L,
37C-R248,Weightlifter,,,
37C-R249,1,"CHI:        he can lift a, um, big big uh doors.",F,
37C-R252,Farmer,,,
37C-R253,1,CHI:        but farmers do something else.,F+L,
37C-R255,2,CHI:        they live in barns.,P,
37C-R256,3,"CHI:        don't they have a rooster on top of their, place?",F,
37C-R263,5,"CHI:        okay she can, put she can go to bed.",F,
37C-R264,6,CHI:        she can smell.,F,
37C-R265,7,CHI:        she can eat.,F,
37C-R266,8,CHI:        she can see.,P,
37C-R267,9,"CHI:        she can do, everything.",F,
37C-R563,Surfer,,,
37C-R565,1,"CHI:        I do, um, I don't know.",I,
37C-R570,4,"CHI:        you can like, like you can get wet.",P,wet
37C-R572,5,CHI:        and you need your bathing suits.,P,
37C-R574,6,CHI:        that's all that I know.,I,
37C-R578,7,CHI:        he has five fingers.,P,
37C-R579,8,CHI:        and he's in the water.,P,
37C-R585,King,,,
37C-R586,1,CHI:        now a prince.,T,
37C-R588,2,CHI:        um kid princes are called princes.,T,
37C-R590,3,CHI:        and dad princes is called kings.,T+L,
37C-R592,4,CHI:        so is this a king?,L,
37C-R594,5,CHI:        might be a king.,L,
37C-R596,6,CHI:        so he can eat smell talk.,F,
37C-R597,7,CHI:        even go to bed.,F,
37C-R599,8,CHI:        that's all that I know.,I,
37C-R601,9,CHI:        he can sit ⌊down⌋.,P,
37C-R603,10,"CHI:        he can, like sit down and eat.",P+F,
37C-R605,11,CHI:        let me think about something else.,I,
37C-R606,12,CHI:        he can walk.,F,
44C-R2,Clown,,,
44C-R4,1,CHI:        a clown.,L,
44C-R6,2,CHI:        clowns are silly.,L+P,silly
44C-R28,Football Player,,,
44C-R30,1,CHI:        somebody.,L,
44C-R33,2,CHI:        it xxx ball.,P,
44C-R36,3,CHI:        it wa- that ones wearin a hat.,P,
44C-R58,Witch,,,
44C-R60,1,CHI:        a witch.,L,
44C-R65,3,"CHI:        it, the witch is wearing a hat.",L+P,
44C-R68,4,CHI:        I don't know what else.,I,
44C-R70,Pilot,,,
44C-R72,1,"CHI:        somebody body, sitting in a chair.",L+P,
44C-R74,2,CHI:        what more can you tell me?,,
44C-R75,3,CHI:        it was wearing a hat.,P,
44C-R155,Teacher,,,
44C-R157,1,CHI:        a teacher.,L,
44C-R159,2,CHI:        the teacher got a book in its hand.,L+P,
44C-R161,3,CHI:        the teacher's wearing glasses.,L+P,
48C-R2,Race Car Driver,,,
48C-R8,3,CHI:        and the man is getting out.,P+L,
48C-R12,Ballerina,,,
48C-R14,1,CHI:        a ballerina.,L,
48C-R16,2,CHI:        she's wearing dance [?] shoes.,P,
48C-R20,3,CHI:        they dance.,F,
48C-R21,4,"CHI:        I used to be, in a dance class.",I+F,
48C-R133,Old Woman,,,
48C-R135,1,CHI:        a old lady.,L,old
48C-R141,3,"CHI:        it gots, silver hair.",P,silver
48C-R142,4,CHI:        and it gots green necklaces.,P,green
48C-R143,5,"CHI:        and one, black one.",P,black
48C-R145,6,CHI:        and it's wearing blue pants.,P,blue
48C-R146,7,CHI:        and blue shoes.,P,blue
48C-R147,8,CHI:        and a pink coat.,P,pink
48C-R148,9,CHI:        and its shirt is green with blue xxx.,P,"green, blue"
48C-R150,Firefighter,,,
48C-R152,1,CHI:        a fireman.,L,
48C-R154,2,CHI:        it gots a hat.,P,
48C-R159,4,CHI:        puts out the fire.,P,
48C-R170,Judge,,,
48C-R172,1,CHI:        a author.,L,
59C-R40,Pirate,,,
59C-R42,1,CHI:        pirate &=whispers:to_Zorg.,L,
59C-R43,2,CHI:        pirate [= as Zorg].,L,
59C-R46,4,CHI:        these are pirates [= as Zorg].,L,
59C-R49,7,CHI:        and they're mean [= as Zorg] .,I,
59C-R57,Doctor,,,
59C-R59,1,CHI:        &=whispers:to_Zorg doctor.,L,
59C-R60,2,CHI:        doctor [= as Zorg].,L,
59C-R70,3,CHI:        &=whispers:to_Zorg it's a doctor and it helps people.,F+L,
59C-R73,5,"CHI:        um um, yeah um, ah &=whispers:to_Zorg He's good xxx.",I,good
59C-R74,6,CHI:        he's good and not evil [= as Zorg].,I,"good, not evil"
59C-R77,7,CHI:        &=whispers:to_Zorg they help you and they take care of you.,F,
59C-R90,Painter,,,
59C-R95,3,CHI:        &=whispers:to_Zorg it's a artists.,L,
59C-R96,4,CHI:        it's a artist [= as Zorg].,L,
59C-R99,5,"CHI:        um, it draws things [= as Zorg].",P,
59C-R123,Baby,,,
59C-R125,1,CHI:        &=whispers:to_Zorg baby xxx.,L,
59C-R126,2,CHI:        it's a baby [= as Zorg].,L,
59C-R127,3,"CHI:        and he and, and lays down and [= as Zorg] +...",P,
59C-R133,4,CHI:        a baby.,L,
59C-R136,6,CHI:        &=whispers:to_Zorg it's a baby.,L,
59C-R137,7,CHI:        it's a baby [= as Zorg].,L,
59C-R140,9,CHI:        cries and likes to sleep [= as Zorg].,F,
59C-R143,10,CHI:        &=whispers:to_Zorg change diapers.,F+P,
59C-R198,Baseball Player,,,
59C-R200,1,CHI:        &=whispers:to_Zorg baseball player.,L,
59C-R201,2,"CHI:        baseball player, player.",L,
59C-R204,4,"CHI:        um, it hits the ball then er drops the pin and then it runs into a shh that, like that [= as Zorg].",F,
59C-R209,7,CHI:        the football pl- I mean uh [= as Zorg].,T,
59C-R210,8,CHI:        &=whispers:to_Zorg baseball player.,L,
59C-R211,9,CHI:        it's a baseball player and it runs [= as Zorg].,F+L,
67C-R46,Police Officer,,,
67C-R52,4,CHI:        I don't know more.,I,
67C-R55,Surfer,,,
67C-R57,1,CHI:        I don't know about skateboarding.,I+P,
67C-R59,2,CHI:        skateboarding is for older kids.,P+F,
67C-R118,Farmer,,,
67C-R126,1,CHI:        xxx.,,
67C-R128,2,CHI:        a farmer.,L,
67C-R130,3,CHI:        they haul food.,F,
67C-R132,4,CHI:        they they put hay in barns too.,F,
67C-R133,Weightlifter,,,
67C-R135,1,CHI:        a wrestle guy.,L,
67C-R137,2,CHI:        they wrestle.,F,
67C-R139,3,CHI:        um that only they do.,F,
67C-R141,4,CHI:        but that all they the wrestlers do.,L+F,
67C-R142,5,CHI:        but they smas-hit guys.,F,
67C-R143,6,CHI:        they fight.,F,
67C-R145,7,CHI:        they're [?] kinda scary.,I,scary
67C-R166,King,,,
67C-R168,1,CHI:        a king.,L,
67C-R170,2,"CHI:        kings have, live in castles.",L+F,
67C-R171,3,CHI:        and kings have hats on.,L+P,
07C-R10,ballerina,,,
07C-R14,2,CHI:        that's a dancing.,L,
07C-R17,3,"CHI:        maybe it's yellow and black and, and maybe it's pink, and right about it's, black ⌈ um⌉.",P,"yellow, black, pink, black"
07C-R19,4,CHI:        and pink and red.,P,"pink, red"
07C-R24,6,CHI:        red &=points:picture.,P,red
07C-R59,race car driver,,,
07C-R93,firefighter,,,
07C-R94,1,CHI:        a firefire.,L,
07C-R95,2,"CHI:        it's black and green, and colors.",P,"black, green"
07C-R98,3,CHI:        it's have white.,P,white
07C-R102,4,CHI:        zorg this is white and black and colors.,P,"white, black"
07C-R143,old woman,,,
07C-R144,1,"CHI:        it's a blue, and green I mean, I mean what is this?",P,"blue, green"
07C-R147,2,CHI:        I think this is blue and green and yellow and black and and grey and yellow blue.,P,"blue, green, grey, black, yellow, blue"
07C-R149,3,CHI:        it's walks.,F,
07C-R153,4,CHI:        zorg this is blue and yellow and grey and red and green and black and red and yellow.,P,"blue, yellow, grey, green, black, red"
07C-R166,judge,,,
07C-R168,1,CHI:        a black and a white.,P,"black, white"
07C-R170,2,CHI:        it it walks.,F,
07C-R174,3,CHI:        zorg this is black and white.,P,"black, white"
08C-R59,firefighter,,,
08C-R61,1,CHI:        a fireman.,L,
08C-R63,2,CHI:        um he is wash- he's getting out the fire.,P,
08C-R66,3,CHI:        uh-huh [= yes] he's just xxx that he's holding.,P,
08C-R76,4,"CHI:        and, he has a point he has a thing.",P,
08C-R80,ballerina,,,
08C-R82,1,CHI:        a ballerina.,L,
08C-R84,2,"CHI:        mm she, these things are called tutus &=points:tutu.",P,
08C-R86,3,CHI:        it's a kind of a funny name.,I,
08C-R88,4,"CHI:        and, toe shoes.",P,
08C-R89,5,CHI:        another toe shoe.,P,
08C-R90,6,"CHI:        and she has, yellow hair.",P,yellow
08C-R92,7,CHI:        black tights.,P,black
08C-R94,8,CHI:        I have a ballerina suit.,I+L,pink
08C-R96,9,CHI:        but it's light pink.,I,
08C-R98,10,CHI:        &=laughs and I don't know.,I,
08C-R133,judge,,,
08C-R137,1,"CHI:        um it's a, man that's working in his office.",L,
08C-R140,2,CHI:        um he has glasses but he's a little mad.,P+I,
08C-R148,4,CHI:        and he has a book ⌈<I mean> [?]⌉.,P,
08C-R152,6,CHI:        and he has a mean look.,I,mean
08C-R196,old woman,,,
08C-R198,1,CHI:        a ski girl.,L,
08C-R200,2,CHI:        um she's holding a stick and she has glasses on and a necklace.,P,
08C-R202,3,CHI:        three necklaces.,P,
08C-R210,8,"CHI:        mm-hm [= yes], um and she has blue pants.",P,blue
08C-R211,9,CHI:        and pink shirt.,P,pink
08C-R212,10,"CHI:        and, very very light, shirt [?].",P,light
08C-R215,12,CHI:        that's all I know.,I,
08C-R217,13,CHI:        and she has a bow.,P,
08C-R219,race car driver,,,
08C-R221,1,CHI:        um a guy on a race car at a race car is it at a race car.,L,
08C-R223,2,CHI:        they're gonna race.,I+P,
08C-R226,4,CHI:        um he has a dog print on his shirt.,P,
08C-R227,5,"CHI:        and another, and he has glasses.",P,
08C-R228,6,CHI:        a hat.,P,
08C-R229,7,CHI:        white tan and black here.,P,"white, black"
08C-R230,8,CHI:        and pink here.,P,pink
08C-R233,10,CHI:        and purple on here.,P,purple
08C-R236,11,"CHI:        mm-hm [= yes], and the cars have numbers on them.",P,
08C-R238,12,CHI:        and there's everyone.,P,
08C-R240,13,CHI:        there's a lot of.,P,
10C-R1,baseball player,Speech,,
10C-R8,3,"CHI:        um a, picture of someone playing baseball.",L,
10C-R10,4,"CHI:        and um, um, this guy is getting ready to hit the ball.",P,
10C-R12,5,CHI:        or try to hit the ⌊ball⌋.,P,
10C-R16,7,"CHI:        hm, you need to like be a, maybe have a you don't really actually have to but some people have like a baseball hat.",I+F,
10C-R18,8,CHI:        to wear.,F,
10C-R82,painter,,,
10C-R84,1,CHI:        a painter.,L,
10C-R87,3,CHI:        she is painting.,P,
10C-R88,4,"CHI:        um, right now she's painting a tree.",P,
10C-R90,5,CHI:        she's painting on a easel.,P,
10C-R92,6,CHI:        and a piece of paper.,P,
10C-R94,7,"CHI:        and, she's painting with, paint.",P,
10C-R115,baby,,,
10C-R118,2,CHI:        is a picture of a baby laying in like a on a blanket or in its crib on a ⌊blanket⌋.,L+P,
10C-R120,3,CHI:        with three um dolls.,P,
10C-R122,4,"CHI:        and, babies like, to kick.",L+F,
10C-R124,5,CHI:        um looks like this baby's getting ready to kick.,L+ P,
10C-R173,doctor,,,
10C-R175,1,CHI:        this is a picture of someone at the hospital or a doctor.,P+L,
10C-R178,2,"CHI:        um, the I think she's at the doctor cause it looks like this is the a doctor.",P+L,
10C-R180,3,CHI:        and the doctor is I think asking her some questions.,L+P,
10C-R182,4,"CHI:        um, looks like right now she's talking.",P,
10C-R183,5,"CHI:        um, and she's laying in a bed.",P,
10C-R187,pirate,,,
10C-R188,1,CHI:        this is a pirate.,L,
10C-R190,2,"CHI:        um, they, only travel on ships.",F,
10C-R192,3,"CHI:        and they wear, patches on only one eye.",P,
10C-R195,5,CHI:        they wear a belt.,P,
10C-R196,6,CHI:        they wear boots.,P,
24C-R1,doctor,Speech,Which feature is questioned or emphasized,
24C-R3,1,CHI:        a doctor.,L,
24C-R5,2,CHI:        they help people who are sick or hurt.,F,
24C-R9,4,"CHI:        zorg you don't, I don't know.",I,
24C-R12,6,CHI:        a doctor helps people.,L+F,
24C-R13,7,CHI:        I'm sick.,I,
24C-R25,baseball player,,,
24C-R27,1,CHI:        a baseball player.,L,
24C-R29,2,CHI:        some have bats and some have gloves.,P,
24C-R32,3,CHI:        when the ball comes to you ya hit it.,F,
24C-R61,painter,,,
24C-R63,1,CHI:        a painter.,L,
24C-R65,2,CHI:        you paint it.,P,
24C-R68,4,CHI:        and then you get some paint and then you paint it.,F+P,
24C-R72,6,CHI:        first they get a paintbrush put it in paint and then paint pictures that you want to paint.,F+P,
24C-R105,pirate,,,
24C-R107,1,CHI:        oh a pirate.,L,
24C-R108,2,CHI:        oh the pirate.,L,
24C-R110,3,CHI:        he rides on a ship.,F,
24C-R111,4,CHI:        he needs gold.,F,
24C-R112,5,CHI:        and has a parrot.,P,
24C-R117,baby,,,
24C-R118,1,CHI:        baby.,L,
24C-R120,2,CHI:        he cannot do anything but lay there and cry &=burps.,F+P,
24C-R124,4,CHI:        zorg it's a baby.,L,
24C-R125,5,CHI:        you don't eat it.,F,
24C-R126,6,CHI:        it's a person.,T,
24C-R127,7,CHI:        yuck people stinks.,T+I,
47C-R16,firefighter,,,
47C-R18,1,CHI:        a firetruck.,P,
47C-R20,2,"CHI:        hm, they put out hoses.",P,
47C-R22,3,"CHI:        and, I don't know what else.",I,
47C-R43,5,"CHI:        hm, they're running to a, fire.",P,
47C-R45,race car driver,,,
47C-R47,1,CHI:        a racecar.,P,
47C-R49,2,"CHI:        um, they race and race.",P,
47C-R51,3,CHI:        fast.,P,
47C-R53,3,"CHI:        and, steering helps them stay on the road.",F,
47C-R145,old woman,,,
47C-R146,1,"CHI:        hey, that's a cane right there.",P,
47C-R149,2,CHI:        a wol-woman.,L,
47C-R151,3,CHI:        I don't know much about people.,I,
47C-R153,4,"CHI:        but when they hurt, their foot they need a cane.",F+P,
47C-R167,ballerina,,,
47C-R168,1,CHI:        I know a lot about this.,I,
47C-R171,2,CHI:        it's a dancer.,L,
47C-R180,4,"CHI:        mm, and she dances around.",P,
47C-R182,5,CHI:        so people can see her.,F,
47C-R192,9,CHI:        a dancer.,L,
47C-R197,10,"CHI:        and um, she spins and she, dances around where she's supposed to dance.",P,
47C-R302,judge,,,
47C-R304,1,CHI:        a director.,L,
47C-R314,3,CHI:        it's a director.,L,
58C-R45,race car driver,,,
58C-R47,1,CHI:        a racecar.,P,
58C-R80,judge,,,
58C-R82,1,CHI:        um I don't know.,I,
58C-R85,2,CHI:        a person who sits and does paperwork.,P,
58C-R88,3,CHI:        he he likes papers and wears glasses.,I+P,
58C-R89,4,CHI:        and he has a book that tells him things.,P,
58C-R108,firefighter,,,
58C-R110,1,CHI:        a fireman.,L,
58C-R112,2,CHI:        he fights out fires.,P,
58C-R114,3,CHI:        he doesn't know much about this one.,I,
58C-R115,4,"CHI:        he he has a hose that can, get out the fire.",P,
58C-R116,5,"CHI:        and, and he has a big ladder so he can do from anywhere.",P,big
58C-R117,6,CHI:        so so so all they can be saved from the fire.,F+P,
58C-R170,ballerina,,,
58C-R172,1,CHI:        a [?] ballerina.,L,
58C-R174,2,CHI:        ballerinas have tutus.,L+P,
58C-R177,3,CHI:        um they spin on their ballerina shoe.,P,
58C-R178,4,CHI:        and they have special tutus.,P,special
58C-R179,5,CHI:        and they have different kind of places.,F,different
58C-R181,6,CHI:        and sometimes xxx places.,F,
58C-R212,old woman,,,
58C-R214,1,CHI:        a old lady.,L,old
58C-R216,2,CHI:        old ladies have necklaces and they have canes so they can walk well outside.,L+P,old
58C-R217,3,CHI:        and they and they and they have special and they have grey hair.,P,"special, grey"
58C-R218,4,CHI:        and they wear glasses around.,P,
58C-R219,5,CHI:        and some don't.,P,
58C-R222,6,"CHI:        old people, have, I don't know.",T+I,
30C-R44,football player,,,
30C-R48,2,CHI:        a hockey player.,L,
30C-R50,3,CHI:        I don't know anything else about it.,I,
30C-R53,4,CHI:        it has legs.,P,
30C-R55,5,CHI:        it has arms.,P,
30C-R92,pilot,,,
30C-R102,4,CHI:        I don't know anything else about it.,I,
30C-R133,teacher,,,
30C-R135,1,CHI:        a teacher.,L,
30C-R137,2,CHI:        it helps kids teach.,F,
30C-R141,3,CHI:        I don't know anything else.,I,
30C-R143,4,CHI:        we bringed food here.,I,
30C-R183,witch,,,
30C-R185,1,CHI:        a witch.,L,
30C-R187,2,CHI:        it's for Halloween.,F,
30C-R189,3,CHI:        that's all I know.,I,
30C-R195,clown,,,
30C-R197,1,CHI:        a clown.,L,
30C-R199,2,CHI:        it's dressed up of a people.,F,
30C-R201,3,CHI:        I don't know anything else.,I,
30C-R204,4,CHI:        it's pointing at his ears.,P,
63C-R1,pilot,Speech,,
63C-R3,1,CHI:        a police.,L,
63C-R6,3,"CHI:        I don't know what that, what he is.",I,
63C-R8,4,"CHI:        even, if it's a police.",L,
63C-R11,5,CHI:        maybe it's a police officer.,L,
63C-R14,6,CHI:        maybe he's flying in an airplane.,P,
63C-R19,football player,,,
63C-R21,1,CHI:        a football player.,L,
63C-R23,2,CHI:        uh she's playing football.,P,
63C-R25,3,CHI:        um she's she she has she she has the football in her hands.,P,
63C-R99,clown,,,
63C-R101,1,CHI:        a funny person.,I+T,funny
63C-R111,7,CHI:        hm he he kind he kind of looks like a clown.,L,
63C-R112,8,CHI:        that juggles.,F,
63C-R114,9,CHI:        my dad can juggle with two apples.,I+F,
63C-R117,10,CHI:        hm he- jugglers look kind of funny.,F+I,funny
63C-R118,11,CHI:        and they juggle a lot.,F,
63C-R176,teacher,,,
63C-R178,1,CHI:        a teacher.,L,
63C-R180,2,CHI:        um she's writing with some chalk.,P,
63C-R185,4,"CHI:        uh she's wear-she's looking, she's holding a book.",P,
63C-R187,witch,,,
63C-R189,1,CHI:        a witch.,L,
63C-R191,2,CHI:        uh there's a bat.,P,
63C-R192,3,CHI:        and he's wearing a witch hat.,P+L,
63C-R195,5,CHI:        and she and he's on a broom.,P,
63C-R200,7,CHI:        uh there's a bat across from this.,P,
63C-R201,8,CHI:        and you know who I'm gonna be for Halloween?,I+F,
63C-R203,9,CHI:        it's something scary.,I,scary
63C-R207,12,CHI:        it's gonna be really scary.,I,scary
63C-R209,13,CHI:        Batman.,T,
20C-R112,judge,,,
20C-R114,1,CHI:        um it's a judger.,L,
20C-R116,2,CHI:        um judgers have things and they go like this &=mimes:hammering_table.,L+F,
20C-R120,4,CHI:        and he has glasses.,P,
20C-R122,5,"CHI:        and he is the judger and, xxx &=yawns.",L,
20C-R134,race car driver,,,
20C-R138,2,CHI:        um I can't see him like this.,I,
20C-R139,3,CHI:        because his body looks his clothes look purple.,P,purple
20C-R144,5,CHI:        um they race in a race car.,F,
20C-R182,old woman,,,
20C-R183,1,CHI:        this is a grandma.,L,
20C-R185,2,"CHI:        um, her has a bracelet in her hair and her pants look this looks brown and.",P,brown
20C-R196,firefighter,,,
20C-R197,1,CHI:        a firefighter.,L,
20C-R199,2,CHI:        um he saves people from the fire.,F+P,
20C-R200,3,"CHI:        and oh, and he and, he squirts out the water.",P,
20C-R203,5,CHI:        they climb on ladders &=yawns.,F+P,
20C-R204,6,CHI:        and they free people.,F,
20C-R205,7,CHI:        I don't know.,I,
20C-R210,1,CHI:        this is an ice cream cone.,L+P,
20C-R221,ballerina,,,
20C-R222,1,CHI:        this is a ballerina.,L,
20C-R223,2,CHI:        this is a ballerina.,L,
20C-R224,3,CHI:        I'm a start to be a ballerina.,I+L,
20C-R226,4,"CHI:        um her, &=shrugs I don't know.",I,
36C-R19,baseball player,,,
36C-R21,1,CHI:        baseball man.,L,
36C-R23,2,CHI:        um he plays baseball and he hits the ball and it goes back to someone else.,P+F,
36C-R26,4,CHI:        you gotta learn to play baseball.,I,
36C-R32,5,"CHI:        well, you can need to learn to play baseball by yourself now because you're no nice.",I+F,
36C-R68,doctor,,,
36C-R76,4,CHI:        when I'm sick I gotta go to the doctor.,I+L,
36C-R78,5,CHI:        once I got new [?] cavities.,I,
36C-R80,6,CHI:        they're pretty and they got good things in them to make teeth.,I+F,
36C-R85,8,CHI:        you need to learn to go to the doctor and be patient.,I+F+L,
36C-R136,painter,,,
36C-R138,1,CHI:        painting.,P,
36C-R140,2,CHI:        well if she's painting really easy she can't get paint on her.,I+P,
36C-R142,3,"CHI:        so that's why, she needs to do it.",I+P,
36C-R147,5,CHI:        you you need to paint by yourself now.,I+F,
36C-R149,baby,,,
36C-R150,1,CHI:        baby.,L,
36C-R155,2,CHI:        well if the baby cries and wants some breakfast she say wah.,L+F+P,
36C-R157,3,CHI:        you gotta cry like a baby [= talking to Zorg].,I+F+L,
36C-R158,4,CHI:        this is a funny one.,I,funny
36C-R234,pirate,,,
36C-R235,1,CHI:        a pirate.,L,
36C-R237,2,CHI:        and he likes to get treasure.,I+F,
36C-R243,5,CHI:        you need xxx to be a pirate.,I+L,
39C-R1,king,Speech,,
39C-R7,3,"CHI:        well, I don't know anything about kings.",I+L,
39C-R9,5,CHI:        don't know anything about kings.,L,
39C-R13,8,CHI:        it took a hard time to shape the crown out and like get all the well +...,I+P,
39C-R14,9,CHI:        it it took it took a hard time to find the clothes and this and the treasure [?] like.,I+P,
39C-R17,farmer,,,
39C-R48,police officer,,,
39C-R50,1,CHI:        &=whispers police officer.,L,
39C-R55,2,CHI:        um see these are so that you can hear the police officer.,P+F+L,
39C-R56,3,CHI:        so he can talk.,F,
39C-R57,4,CHI:        and like it can get bad guys.,F,
39C-R58,5,CHI:        and like I heard somebody being a bad guy and didn't want to be a bad guy anymore.,I,
39C-R59,6,CHI:        sent a card of apology.,I,
39C-R61,7,CHI:        and sent back his money.,I,
39C-R64,9,CHI:        uh well you see they rob pe-bad people.,F,
39C-R65,10,CHI:        they take xxx well on Scooby_Doo.,I,
39C-R66,11,CHI:        on one Scooby_Doo one time xxx house they were giving all the money to Scooby_Doo.,I,
39C-R68,12,"CHI:        and that one was like, was like “You spent a night in a haunted house that wasn't even haunted”.",I,
39C-R69,13,CHI:        ridiculous.,I,
39C-R72,14,CHI:        you spent a night in a haunted house that wasn't even ⌊haunted⌋.,I,
39C-R178,weightlifter,,,
39C-R180,1,CHI:        a strong man.,L,strong
39C-R182,2,"CHI:        well, this reminds me of the Incredibles.",I,
39C-R184,3,CHI:        I watched them at my friend's house two times.,I,
39C-R186,4,CHI:        like at the end Jack-Jack gets mad at the bad guy and like turns and xxx like a bad baby.,I,
39C-R187,5,CHI:        and like he takes one of his things off.,I,
39C-R188,6,"CHI:        and he was like, and the guy was like scared.",I,
39C-R190,7,CHI:        then xxx Mister Incredible married Elastigirl and like was one guy like Dash.,I,
39C-R191,8,CHI:        he's the fastest.,I,fastest
39C-R192,9,CHI:        and he's like even faster than regular humans.,I,faster
39C-R252,surfer,,,
39C-R253,1,CHI:        I know surfing [?].,I,
39C-R254,2,"CHI:        don't go on that because like, a shark will like come up and eat you.",I,
39C-R255,3,CHI:        and like xxx you with kickboards in the ocean.,I+P,
39C-R257,4,CHI:        because they will like get eaten by a shark.,I,
39C-R258,5,CHI:        so like don't do that.,I,
39C-R260,6,CHI:        well you see don't go swimming with that because Mom doesn't want ta- doesn't want people to get eaten by a shark.,I,
39C-R262,7,CHI:        so like just don't do it.,I,
